DEBUG 2023-09-16 11:47:45,160 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:45,162 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:47:54,935 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:47:54,939 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:54,941 __init__ interactive is False
DEBUG 2023-09-16 11:47:54,941 __init__ platform is win32
DEBUG 2023-09-16 11:47:54,987 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:47:54,988 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:48:58,931 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:48:58,934 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:48:58,936 __init__ interactive is False
DEBUG 2023-09-16 11:48:58,936 __init__ platform is win32
DEBUG 2023-09-16 11:48:58,988 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:48:58,990 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:49:09,589 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:49:09,592 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:49:09,593 __init__ interactive is False
DEBUG 2023-09-16 11:49:09,593 __init__ platform is win32
DEBUG 2023-09-16 11:49:09,638 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:49:09,640 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:49:16,246 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:49:16,250 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:49:16,251 __init__ interactive is False
DEBUG 2023-09-16 11:49:16,251 __init__ platform is win32
DEBUG 2023-09-16 11:49:16,300 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:49:16,301 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:49:20,011 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:49:20,015 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:49:20,017 __init__ interactive is False
DEBUG 2023-09-16 11:49:20,017 __init__ platform is win32
DEBUG 2023-09-16 11:49:20,064 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:49:20,066 font_manager Using fontManager instance from C:\Users\ilyat\.matplotlib\fontlist-v330.json
DEBUG 2023-09-16 11:49:24,801 __init__ matplotlib data path: C:\Users\ilyat\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
DEBUG 2023-09-16 11:49:24,806 __init__ CONFIGDIR=C:\Users\ilyat\.matplotlib
DEBUG 2023-09-16 11:49:24,807 __init__ interactive is False
DEBUG 2023-09-16 11:49:24,807 __init__ platform is win32
DEBUG 2023-09-16 11:49:24,853 __init__ CACHEDIR=C:\Users\ilyat\.matplotlib
